id express priority volume weight reward duration
0 1 1 14 25 1914 465
1 1 1 26 23 508 466
2 1 1 19 20 748 466
3 1 1 9 20 1788 467
4 1 1 5 8 809 470
5 1 1 10 12 714 475
6 1 1 6 19 1155 476
7 1 1 13 27 567 505
8 1 1 18 4 1711 508
9 1 1 23 28 1134 509
10 1 1 21 25 1652 510
11 1 1 10 22 1613 512
12 1 1 14 8 1029 513
13 1 1 6 15 341 518
14 1 1 23 22 309 522
15 1 1 27 20 1037 526
16 1 1 7 18 1135 527
17 1 1 29 13 636 527
18 1 1 29 15 1550 534
19 1 1 20 8 1698 534
20 1 1 23 18 330 539
21 1 1 21 28 1840 540
22 1 1 24 14 1636 545
23 1 1 16 7 1603 549
24 1 1 3 18 747 551
25 1 1 26 9 475 552
26 1 1 24 8 1412 554
27 1 1 15 28 1428 555
28 1 1 14 13 584 555
29 1 1 24 26 746 558
30 1 1 16 22 462 560
31 1 1 26 11 1071 562
32 1 1 11 22 1368 563
33 1 1 22 19 1052 566
34 1 1 29 7 738 566
35 1 1 28 21 1460 566
36 1 1 7 16 722 581
37 1 1 27 22 716 588
38 1 1 6 19 231 589
39 1 1 8 26 1466 595
40 1 1 4 25 669 598
41 1 1 29 8 1072 599
42 1 1 18 11 1298 601
43 1 1 29 26 1498 603
44 1 1 8 27 1143 610
45 1 1 9 7 501 612
46 1 1 18 11 1192 615
47 1 1 20 24 1799 627
48 1 1 6 7 412 627
49 1 1 3 23 1757 630
50 1 1 20 27 1501 636
51 1 1 15 20 1786 647
52 1 1 22 14 206 657
53 1 1 22 27 219 659
54 1 1 9 7 1323 661
55 1 1 22 29 1436 661
56 1 1 11 18 1504 669
57 1 1 22 27 387 670
58 1 1 6 6 364 671
59 1 1 21 18 1426 675
60 1 1 17 22 639 676
61 1 1 7 12 536 676
62 1 1 24 11 348 678
63 1 1 23 10 763 678
64 1 1 4 27 1832 680
65 1 1 3 9 900 681
66 1 1 11 26 1434 681
67 1 1 15 20 1440 681
68 1 1 4 7 1926 686
69 1 1 12 25 1429 687
70 1 1 26 17 725 690
71 1 1 22 7 1169 693
72 1 1 9 7 317 699
73 1 1 17 21 485 699
74 1 1 6 15 362 700
75 1 1 12 7 1267 702
76 1 1 25 21 1562 711
77 1 1 17 23 1754 723
78 1 1 9 29 820 723
79 1 1 5 29 1488 723
80 1 1 4 15 1598 728
81 1 1 10 28 1862 730
82 1 1 17 24 666 730
83 1 1 16 13 1146 733
84 1 1 8 22 1683 733
85 1 1 17 12 1796 742
86 1 1 21 19 948 752
87 1 1 8 24 1553 756
88 1 1 4 25 709 758
89 1 1 26 6 1137 759
90 1 1 23 26 1258 760
91 1 1 8 5 463 760
92 1 1 25 5 538 764
93 1 1 6 15 514 768
94 1 1 6 15 1576 770
95 1 1 19 5 1362 772
96 1 1 9 18 1607 777
97 1 1 18 21 848 791
98 1 1 10 19 1018 793
99 1 1 12 3 779 798
100 1 1 29 18 673 798
101 1 1 12 13 652 805
102 1 1 17 4 1818 808
103 1 1 17 20 1703 815
104 1 1 26 23 1030 818
105 1 1 22 20 407 823
106 1 1 6 27 1586 825
107 1 1 25 12 1341 826
108 1 1 16 17 746 829
109 1 1 15 14 1785 832
110 1 1 11 11 1070 832
111 1 1 22 24 1867 841
112 1 1 6 28 1637 844
113 1 1 19 18 1037 847
114 1 1 29 23 1342 849
115 1 1 5 6 1540 851
116 1 1 23 3 1193 856
117 1 1 22 16 1068 857
118 1 1 26 8 1223 861
119 1 1 17 28 1839 870
120 1 1 11 16 627 870
121 1 1 25 26 1527 872
122 1 1 19 26 1410 873
123 1 1 25 28 1014 879
124 1 1 4 22 1889 879
125 1 1 3 20 1379 879
126 1 1 3 19 342 882
127 1 1 11 18 1328 883
128 1 1 8 17 243 883
129 1 1 20 19 336 885
130 1 1 3 29 1800 891
131 1 1 29 27 1248 893
132 1 1 18 9 1178 895
133 1 1 5 12 1235 896
134 1 1 19 21 1438 896
135 1 1 3 27 431 898
136 1 1 10 21 1176 901
137 1 1 14 15 653 906
138 1 1 19 28 1590 909
139 1 1 12 13 430 911
140 1 1 23 7 1663 915
141 1 1 17 6 1660 916
142 1 1 10 14 1932 921
143 1 1 14 29 1550 921
144 1 1 16 22 1821 923
145 1 1 18 15 1490 928
146 1 1 22 6 1199 928
147 1 1 20 16 576 933
148 1 1 13 10 544 933
149 1 1 10 14 1496 935
150 1 1 22 5 922 937
151 1 1 8 11 684 940
152 1 1 24 11 1861 947
153 1 1 8 8 1506 954
154 1 1 13 10 1131 958
155 1 1 21 25 1337 959
156 1 1 12 19 548 962
157 1 1 17 5 767 962
158 1 1 22 21 1056 964
159 1 1 22 11 1405 971
160 1 1 28 13 674 974
161 1 1 19 14 788 978
162 1 1 5 8 1119 980
163 1 1 26 17 1580 981
164 1 1 24 20 1220 982
165 1 1 21 8 889 982
166 1 1 5 27 1187 984
167 1 1 8 12 1514 985
168 1 1 13 5 439 985
169 1 1 3 26 1032 990
170 1 1 25 24 431 991
171 1 1 9 20 1790 991
172 1 1 22 22 1259 998
173 1 1 29 17 1783 999
174 1 1 19 4 1736 1002
175 1 1 3 7 1566 1009
176 1 1 21 26 692 1012
177 1 1 11 20 603 1018
178 1 1 17 29 1949 1024
179 1 1 26 22 1189 1024
180 1 1 16 29 654 1025
181 1 1 27 7 1616 1027
182 1 1 28 27 682 1029
183 1 1 4 8 1158 1030
184 1 1 16 28 1224 1033
185 1 1 12 7 1651 1039
186 1 1 22 19 402 1042
187 1 1 21 17 1120 1047
188 1 1 13 24 642 1063
189 1 1 9 18 397 1064
190 1 1 9 22 465 1064
191 1 1 26 20 1788 1066
192 1 1 11 19 858 1073
193 1 1 17 8 456 1077
194 1 1 20 20 1813 1078
195 1 1 29 11 419 1081
196 1 1 6 23 1122 1089
197 1 1 23 10 207 1090
198 1 1 7 5 845 1096
