id express priority volume weight reward duration
3 0 0 6 26 1991 318
34 0 0 29 20 1991 704
327 0 0 19 19 1990 106
347 0 0 13 6 1987 926
254 0 0 19 3 1982 619
280 0 0 29 20 1972 641
6 0 0 19 16 1967 865
333 0 0 19 19 1956 207
296 0 0 28 6 1953 299
361 0 0 13 20 1951 729
421 0 0 23 16 1936 498
206 0 0 3 19 1928 713
25 0 0 23 16 1918 1042
244 0 0 23 26 1913 600
83 0 0 25 28 1909 396
245 0 0 16 6 1907 397
155 0 0 22 13 1897 272
275 0 0 19 9 1897 881
354 0 0 19 22 1897 986
35 0 0 25 19 1889 468
222 0 0 16 29 1883 380
357 0 0 19 13 1875 107
161 0 0 16 19 1873 697
184 0 0 20 26 1863 104
284 0 0 16 28 1863 653
414 0 0 22 10 1848 196
435 0 0 19 10 1820 348
98 0 0 22 16 1819 768
224 0 0 19 3 1814 369
425 0 0 19 6 1813 756
272 0 0 22 9 1805 279
185 0 0 19 22 1804 622
160 0 0 16 26 1789 1077
178 0 0 23 29 1789 900
409 0 0 23 20 1786 1041
81 0 0 19 13 1784 152
129 0 0 16 29 1739 656
418 0 0 16 29 1730 638
157 0 0 29 26 1724 482
96 0 0 19 22 1719 159
48 0 0 16 13 1718 114
317 0 0 22 28 1717 549
223 0 0 29 20 1704 502
108 0 0 16 29 1694 404
114 0 0 19 13 1688 640
100 0 0 20 10 1663 207
358 0 0 29 10 1657 287
199 0 0 26 20 1645 318
311 0 0 28 6 1636 436
305 0 0 16 16 1633 195
12 0 0 26 22 1628 925
72 0 0 26 6 1627 732
183 0 0 22 16 1598 841
202 0 0 23 26 1594 1052
169 0 0 16 29 1593 882
4 0 0 16 26 1590 728
107 0 0 16 22 1579 619
175 0 0 20 10 1569 720
378 0 0 22 3 1565 763
323 0 0 19 3 1547 279
13 0 0 20 13 1542 128
120 0 0 19 13 1537 614
64 0 0 23 20 1536 804
432 0 0 19 29 1523 353
191 0 0 25 28 1521 284
58 0 0 23 26 1520 942
386 0 0 16 3 1518 1053
390 0 0 26 22 1513 447
410 0 0 22 9 1509 598
57 0 0 16 10 1508 454
381 0 0 22 29 1500 828
209 0 0 22 3 1492 283
326 0 0 19 16 1489 751
99 0 0 26 22 1487 269
198 0 0 16 13 1477 513
125 0 0 13 25 1467 1058
142 0 0 29 10 1463 145
300 0 0 22 29 1448 487
289 0 0 29 16 1442 123
366 0 0 19 22 1440 777
42 0 0 19 19 1437 576
231 0 0 26 19 1397 1043
388 0 0 23 3 1396 143
211 0 0 23 23 1382 991
2 0 0 25 28 1370 535
444 0 0 29 16 1369 817
367 0 0 23 23 1366 481
371 0 0 19 16 1351 615
60 0 0 26 22 1348 605
66 0 0 16 6 1332 642
188 0 0 25 22 1331 509
445 0 0 20 23 1325 338
290 0 0 19 16 1319 385
103 0 0 16 10 1309 888
429 0 0 26 16 1303 358
168 0 0 26 16 1296 524
219 0 0 26 13 1295 104
127 0 0 10 10 1285 483
177 0 0 10 19 1278 267
375 0 0 29 19 1268 1095
47 0 0 19 25 1263 748
336 0 0 26 26 1261 1009
255 0 0 19 22 1260 355
181 0 0 13 29 1255 923
121 0 0 13 26 1253 542
11 0 0 25 13 1251 384
368 0 0 28 19 1240 826
214 0 0 20 23 1236 246
85 0 0 26 29 1233 434
376 0 0 23 29 1232 389
124 0 0 10 26 1229 237
176 0 0 22 25 1227 810
332 0 0 28 6 1208 309
86 0 0 19 6 1204 453
235 0 0 10 16 1202 634
292 0 0 20 16 1200 991
404 0 0 19 22 1200 449
423 0 0 10 29 1194 399
39 0 0 16 19 1193 338
228 0 0 16 6 1188 697
134 0 0 28 9 1185 918
141 0 0 22 16 1175 863
264 0 0 26 26 1170 838
416 0 0 28 22 1166 491
43 0 0 29 20 1160 237
237 0 0 26 6 1156 1073
297 0 0 16 29 1142 878
1 0 0 16 13 1121 641
309 0 0 16 29 1083 521
69 0 0 16 10 1081 1064
150 0 0 22 10 1079 154
126 0 0 13 26 1073 1066
68 0 0 28 6 1065 121
252 0 0 26 22 1065 616
324 0 0 13 6 1062 195
89 0 0 19 9 1059 580
337 0 0 20 13 1054 815
30 0 0 29 16 1051 169
344 0 0 19 13 1040 651
446 0 0 13 25 1026 365
78 0 0 29 29 1019 326
238 0 0 29 13 1014 130
291 0 0 19 16 1012 845
154 0 0 13 13 1008 398
263 0 0 22 28 1002 795
348 0 0 16 29 1002 441
18 0 0 22 16 982 229
55 0 0 26 20 971 308
195 0 0 29 29 969 833
355 0 0 13 13 967 355
383 0 0 28 25 952 377
5 0 0 19 28 946 1021
370 0 0 23 7 936 609
308 0 0 16 28 935 528
180 0 0 22 22 930 324
319 0 0 13 23 916 1026
215 0 0 22 25 914 337
92 0 0 9 22 909 192
325 0 0 20 7 894 300
342 0 0 19 13 884 455
424 0 0 23 23 881 353
330 0 0 16 16 878 697
242 0 0 16 28 875 1094
44 0 0 19 19 873 118
365 0 0 25 22 861 590
32 0 0 19 25 854 790
412 0 0 20 16 851 446
248 0 0 9 25 849 1008
286 0 0 20 13 848 198
158 0 0 19 25 844 478
399 0 0 19 26 836 356
439 0 0 16 3 836 819
227 0 0 28 19 828 888
310 0 0 7 7 828 643
194 0 0 28 16 827 999
313 0 0 20 16 823 524
56 0 0 13 9 820 552
281 0 0 9 16 814 281
153 0 0 13 3 795 302
225 0 0 19 3 784 755
65 0 0 22 19 783 277
128 0 0 9 19 775 997
369 0 0 26 6 774 314
402 0 0 16 16 772 229
382 0 0 7 16 764 617
63 0 0 29 29 763 971
38 0 0 19 3 762 269
102 0 0 16 6 755 874
205 0 0 16 23 746 416
91 0 0 13 10 738 190
109 0 0 26 7 738 375
113 0 0 19 22 735 193
253 0 0 7 13 734 917
26 0 0 25 28 724 816
115 0 0 29 26 719 600
151 0 0 13 29 719 531
79 0 0 26 26 716 445
132 0 0 22 13 709 953
384 0 0 10 19 709 692
31 0 0 16 13 707 359
428 0 0 28 6 707 517
353 0 0 16 16 706 408
329 0 0 16 3 704 1025
230 0 0 13 3 699 1056
339 0 0 19 22 691 728
298 0 0 13 3 690 686
350 0 0 22 6 683 553
243 0 0 10 29 676 526
201 0 0 16 13 671 726
59 0 0 22 13 667 765
345 0 0 6 22 666 504
136 0 0 16 13 654 720
95 0 0 25 6 653 107
101 0 0 25 6 647 415
273 0 0 6 16 647 872
105 0 0 22 16 644 313
320 0 0 19 3 638 618
385 0 0 20 13 636 446
52 0 0 7 26 634 751
165 0 0 6 6 631 145
288 0 0 13 10 629 410
287 0 0 22 22 626 1048
