id express priority volume weight reward duration
0 0 0 21 12 509 207
1 0 0 22 23 1503 953
2 0 0 3 20 1070 221
3 0 0 12 13 1193 422
4 0 0 12 15 887 604
5 0 0 26 14 1819 914
6 0 0 8 6 1131 207
7 1 0 12 7 1651 1039
8 0 0 3 23 396 434
9 0 0 9 15 600 295
10 0 0 3 7 1279 535
11 0 0 21 23 1718 550
12 0 0 16 12 1025 622
13 0 0 24 26 1032 759
14 1 0 14 9 1191 273
15 0 0 14 26 1713 728
16 0 0 8 3 1143 597
17 0 0 23 29 1253 304
18 0 0 11 25 1061 953
19 0 0 17 28 1492 144
20 0 0 8 13 1942 160
21 0 0 15 17 1924 1007
22 0 0 14 11 832 488
23 0 0 20 28 544 758
24 1 0 4 25 709 758
25 0 0 16 20 1157 225
26 0 0 13 21 1929 981
27 0 0 28 12 1817 506
28 0 0 15 28 553 1099
29 0 0 5 3 433 173
30 0 0 24 11 1538 634
31 0 0 28 8 1007 483
32 0 0 18 25 896 311
33 1 0 9 18 1607 777
34 0 0 8 24 1895 139
35 0 0 29 11 1614 1086
36 0 0 15 18 518 184
37 0 0 13 9 469 339
38 0 0 22 6 1926 729
39 0 0 23 13 1563 815
40 0 0 24 11 699 268
41 0 0 6 22 1987 175
42 0 0 16 4 1427 453
43 0 0 24 29 494 705
44 0 0 6 9 1776 750
45 0 0 20 15 1642 908
46 0 0 16 14 1139 764
47 0 0 17 13 1631 835
48 0 0 12 27 315 179
49 0 0 27 18 924 730
50 0 0 14 12 1900 408
51 0 0 8 25 830 973
52 1 0 11 25 715 392
53 0 0 18 15 954 612
54 0 0 10 8 1759 913
55 0 0 27 7 339 909
56 0 0 10 27 302 835
57 0 0 20 18 1202 228
58 0 0 19 23 473 297
59 0 0 17 22 1008 355
60 0 0 22 29 1592 521
61 0 0 9 5 361 398
62 0 0 18 15 1226 647
63 0 0 13 20 1355 470
64 0 0 17 6 1753 938
65 0 0 24 8 562 998
66 0 0 29 6 338 100
67 0 0 27 28 1398 825
68 0 0 3 29 1520 509
69 0 0 15 9 602 252
70 1 0 22 8 1798 107
71 1 0 17 20 1703 815
72 0 0 3 5 413 786
73 0 0 8 16 1642 400
74 0 0 28 27 224 400
75 1 0 10 21 1176 901
76 0 0 6 15 668 855
77 0 0 6 7 1541 330
78 0 0 15 20 1142 357
79 0 0 23 13 379 862
80 0 0 5 21 1352 233
81 0 0 22 29 1401 595
82 0 0 13 5 699 1051
83 0 0 6 10 1941 534
84 0 0 28 19 1810 979
85 1 0 22 24 1867 841
86 0 0 7 23 798 779
87 0 0 20 9 886 395
88 0 0 18 14 1491 1009
